time,pnl,equity
2023/7/8 18:15,61.97822866,27191.23794
2023/7/8 18:20,61.97822866,27191.23794
2023/7/8 18:25,61.97822866,27191.23794
2023/7/8 18:30,61.97822866,27191.23794
2023/7/8 18:35,61.97822866,27191.23794
2023/7/8 18:40,61.97822866,27191.23794
2023/7/8 18:45,61.97822866,27191.23794
2023/7/8 18:50,67.92677317,27197.18648
2023/7/8 18:55,67.92677317,27197.18648
2023/7/8 19:00,67.92677317,27197.18648
2023/7/8 19:05,67.92677317,27197.18648
2023/7/8 19:10,67.92677317,27197.18648
2023/7/8 19:15,67.92677317,27197.18648
2023/7/8 19:20,77.27263319,27206.53234
2023/7/8 19:25,-92.65848906,27036.60122
2023/7/8 19:30,-117.2396424,27012.02007
2023/7/8 19:35,-86.64802234,27042.61169
2023/7/8 19:40,-79.06397363,27050.19574
2023/7/8 19:45,-79.06397363,27050.19574
2023/7/8 19:50,-79.06397363,27050.19574
2023/7/8 19:55,-78.32560947,27050.9341
2023/7/8 20:00,-81.07766091,27048.18205
2023/7/8 20:05,-81.07766091,27048.18205
2023/7/8 20:10,-77.77731076,27051.4824
2023/7/8 20:15,-98.62203846,27030.63767
2023/7/8 20:20,-107.9678879,27021.29182
2023/7/8 20:25,-100.2304344,27029.02928
2023/7/8 20:30,-92.89976569,27036.35994
2023/7/8 20:35,-95.79289442,27033.46682
2023/7/8 20:40,-96.6191524,27032.64056
2023/7/8 20:45,-96.6191524,27032.64056
2023/7/8 20:50,-97.00847156,27032.25124
2023/7/8 20:55,-97.00847156,27032.25124
2023/7/8 21:00,-97.00847156,27032.25124
2023/7/8 21:05,-97.00847156,27032.25124
2023/7/8 21:10,-97.00847156,27032.25124
2023/7/8 21:15,-97.00847156,27032.25124
2023/7/8 21:20,-101.6062015,27027.65351
2023/7/8 21:25,-101.6062015,27027.65351
2023/7/8 21:30,-81.56741512,27047.6923
2023/7/8 21:35,-57.34522558,27071.91448
2023/7/8 21:40,-57.34522558,27071.91448
2023/7/8 21:45,-57.34522558,27071.91448
2023/7/8 21:50,-57.34522558,27071.91448
2023/7/8 21:55,-57.34522558,27071.91448
2023/7/8 22:00,-57.34522558,27071.91448
2023/7/8 22:05,-60.40075816,27068.85895
2023/7/8 22:10,-55.54651773,27073.71319
2023/7/8 22:15,-54.06016481,27075.19955
2023/7/8 22:20,-54.06016481,27075.19955
2023/7/8 22:25,-54.06016481,27075.19955
2023/7/8 22:30,-54.06016481,27075.19955
2023/7/8 22:35,-54.06016481,27075.19955
2023/7/8 22:40,-49.10125351,27080.15846
2023/7/8 22:45,-45.68261884,27083.57709
2023/7/8 22:50,-40.64225716,27088.61745
2023/7/8 22:55,-40.64225716,27088.61745
2023/7/8 23:00,-40.64225716,27088.61745
2023/7/8 23:05,-40.64225716,27088.61745
2023/7/8 23:10,-40.64225716,27088.61745
2023/7/8 23:15,-57.42967271,27071.83004
2023/7/8 23:20,-57.42967271,27071.83004
2023/7/8 23:25,-56.59475773,27072.66495
2023/7/8 23:30,-56.59475773,27072.66495
2023/7/8 23:35,-56.59475773,27072.66495
2023/7/8 23:40,-57.50066445,27071.75905
2023/7/8 23:45,-56.95665626,27072.30305
2023/7/8 23:50,-54.29635183,27074.96336
2023/7/8 23:55,-41.73779776,27087.52191
2023/7/9 0:00,-44.29539959,27084.96431
2023/7/9 0:05,-51.57106547,27077.68864
2023/7/9 0:10,-51.57106547,27077.68864
2023/7/9 0:15,-51.57106547,27077.68864
2023/7/9 0:20,-51.57106547,27077.68864
2023/7/9 0:25,-51.57106547,27077.68864
2023/7/9 0:30,-61.90473669,27067.35497
2023/7/9 0:35,-34.10010858,27095.1596
2023/7/9 0:40,-34.10010858,27095.1596
2023/7/9 0:45,-36.8735645,27092.38615
2023/7/9 0:50,-35.37400793,27093.8857
2023/7/9 0:55,-24.12429061,27105.13542
2023/7/9 1:00,-21.58200666,27107.6777
2023/7/9 1:05,-35.81160581,27093.4481
2023/7/9 1:10,-34.15614423,27095.10357
2023/7/9 1:15,-33.86932778,27095.39038
2023/7/9 1:20,-37.58146288,27091.67825
2023/7/9 1:25,-39.5096057,27089.7501
2023/7/9 1:30,-37.42268333,27091.83703
2023/7/9 1:35,-51.35595717,27077.90375
2023/7/9 1:40,-89.12279324,27040.13692
2023/7/9 1:45,-80.45799809,27048.80171
2023/7/9 1:50,-80.45799809,27048.80171
2023/7/9 1:55,-80.45799809,27048.80171
2023/7/9 2:00,-70.16291661,27059.09679
2023/7/9 2:05,-70.16291661,27059.09679
2023/7/9 2:10,-69.19767438,27060.06204
2023/7/9 2:15,-69.19767438,27060.06204
2023/7/9 2:20,-63.52723334,27065.73248
2023/7/9 2:25,-63.52723334,27065.73248
2023/7/9 2:30,-63.52723334,27065.73248
2023/7/9 2:35,-53.32312661,27075.93658
2023/7/9 2:40,-105.3902791,27023.86943
2023/7/9 2:45,-121.684022,27007.57569
2023/7/9 2:50,-97.18362951,27032.07608
2023/7/9 2:55,-97.0480475,27032.21166
2023/7/9 3:00,-97.0480475,27032.21166
2023/7/9 3:05,-97.0480475,27032.21166
2023/7/9 3:10,-97.0480475,27032.21166
2023/7/9 3:15,-97.0480475,27032.21166
2023/7/9 3:20,-97.0480475,27032.21166
2023/7/9 3:25,-97.0480475,27032.21166
2023/7/9 3:30,-97.0480475,27032.21166
2023/7/9 3:35,-80.11002158,27049.14969
2023/7/9 3:40,-80.11002158,27049.14969
2023/7/9 3:45,-80.11002158,27049.14969
2023/7/9 3:50,-80.11002158,27049.14969
2023/7/9 3:55,-79.16227047,27050.09744
2023/7/9 4:00,-79.16227047,27050.09744
2023/7/9 4:05,-97.04138517,27032.21833
2023/7/9 4:10,-97.04138517,27032.21833
2023/7/9 4:15,-97.04138517,27032.21833
2023/7/9 4:20,-97.04138517,27032.21833
2023/7/9 4:25,-97.04138517,27032.21833
2023/7/9 4:30,-97.04138517,27032.21833
2023/7/9 4:35,-97.04138517,27032.21833
2023/7/9 4:40,-97.12896894,27032.13074
2023/7/9 4:45,-97.12896894,27032.13074
2023/7/9 4:50,-97.12896894,27032.13074
2023/7/9 4:55,-97.12896894,27032.13074
2023/7/9 5:00,-97.12896894,27032.13074
2023/7/9 5:05,-97.12896894,27032.13074
2023/7/9 5:10,-97.12896894,27032.13074
2023/7/9 5:15,-90.76004239,27038.49967
2023/7/9 5:20,-90.76004239,27038.49967
2023/7/9 5:25,-90.76004239,27038.49967
2023/7/9 5:30,-90.13472598,27039.12498
2023/7/9 5:35,-91.03869545,27038.22101
2023/7/9 5:40,-78.7520971,27050.50761
2023/7/9 5:45,-79.35694259,27049.90277
2023/7/9 5:50,-79.35694259,27049.90277
2023/7/9 5:55,-79.35694259,27049.90277
2023/7/9 6:00,-79.35694259,27049.90277
2023/7/9 6:05,-79.35694259,27049.90277
2023/7/9 6:10,-111.4521758,27017.80753
2023/7/9 6:15,-111.4521758,27017.80753
2023/7/9 6:20,-111.4521758,27017.80753
2023/7/9 6:25,-111.4521758,27017.80753
2023/7/9 6:30,-111.4521758,27017.80753
2023/7/9 6:35,-111.9887973,27017.27091
2023/7/9 6:40,-111.9887973,27017.27091
2023/7/9 6:45,-111.9887973,27017.27091
2023/7/9 6:50,-111.9887973,27017.27091
2023/7/9 6:55,-115.0780614,27014.18165
2023/7/9 7:00,-115.0780614,27014.18165
2023/7/9 7:05,-123.0093523,27006.25036
2023/7/9 7:10,-72.55868087,27056.70103
2023/7/9 7:15,-72.93187624,27056.32783
2023/7/9 7:20,-72.93187624,27056.32783
2023/7/9 7:25,-72.93187624,27056.32783
2023/7/9 7:30,-72.93187624,27056.32783
2023/7/9 7:35,-72.93187624,27056.32783
2023/7/9 7:40,-72.93187624,27056.32783
2023/7/9 7:45,-68.64581014,27060.6139
2023/7/9 7:50,-68.64581014,27060.6139
2023/7/9 7:55,-68.64581014,27060.6139
2023/7/9 8:00,-69.14348645,27060.11622
2023/7/9 8:05,-66.04846317,27063.21125
2023/7/9 8:10,-63.7439439,27065.51577
2023/7/9 8:15,-63.7439439,27065.51577
2023/7/9 8:20,-63.7439439,27065.51577
2023/7/9 8:25,-63.7439439,27065.51577
2023/7/9 8:30,-63.7439439,27065.51577
2023/7/9 8:35,-63.7439439,27065.51577
2023/7/9 8:40,-47.57904055,27081.68067
2023/7/9 8:45,-47.57904055,27081.68067
2023/7/9 8:50,-47.57904055,27081.68067
2023/7/9 8:55,-47.57904055,27081.68067
2023/7/9 9:00,-47.57904055,27081.68067
2023/7/9 9:05,-47.57904055,27081.68067
2023/7/9 9:10,-47.57904055,27081.68067
2023/7/9 9:15,-47.57904055,27081.68067
2023/7/9 9:20,-47.57904055,27081.68067
2023/7/9 9:25,-47.57904055,27081.68067
2023/7/9 9:30,0.32935753,27067.5
2023/7/9 9:35,1.10517082,27068.27581
2023/7/9 9:40,-3.82049506,27063.35015
2023/7/9 9:45,-3.82049506,27063.35015
2023/7/9 9:50,-3.82049506,27063.35015
2023/7/9 9:55,-3.82049506,27063.35015
2023/7/9 10:00,-3.82049506,27063.35015
2023/7/9 10:05,1.85680957,27069.02745
2023/7/9 10:10,0.88361144,27068.05425
2023/7/9 10:15,0.6694359,27067.84008
2023/7/9 10:20,0.6694359,27067.84008
2023/7/9 10:25,0.70809935,27067.87874
2023/7/9 10:30,0.70809935,27067.87874
2023/7/9 10:35,3.8406959,27071.01134
2023/7/9 10:40,12.76011182,27079.93075
